model,phase,n_inputs,repeat,time_s
gpu,jit,10,9,0.335488400014583
gpu,jit,10,10,0.34389449999434873
gpu,jit,10,11,0.3246260999585502
gpu,jit,10,12,0.32627429999411106
gpu,jit,10,13,0.3070052999537438
gpu,jit,10,14,0.27637049998156726
gpu,jit,10,15,0.2896500999922864
gpu,jit,10,16,0.2713149000192061
gpu,jit,10,17,0.2637401999672875
gpu,jit,10,18,0.2839322999934666
gpu,jit,10,19,0.2802133000222966
gpu,jit,10,20,0.27897619997384027
gpu,jit,10,21,0.272216200013645
gpu,jit,10,22,0.29763400001684204
gpu,jit,10,23,0.3257255000062287
gpu,jit,10,24,0.27866970002651215
gpu,jit,10,25,0.28514789999462664
gpu,jit,10,26,0.2860516000073403
gpu,jit,10,27,0.2871869999798946
gpu,jit,10,28,0.2779791000066325
gpu,jit,10,29,0.2853810000233352
gpu,warm,10,0,0.0011884000268764794
gpu,warm,10,1,0.0009468000498600304
gpu,warm,10,2,0.0008985999738797545
gpu,warm,10,3,0.0008976999670267105
gpu,warm,10,4,0.0009687000419944525
gpu,warm,10,5,0.0013053000438958406
gpu,warm,10,6,0.0014185999752953649
gpu,warm,10,7,0.0009969999664463103
gpu,warm,10,8,0.0011300999904051423
gpu,warm,10,9,0.0010803000186569989
gpu,warm,10,10,0.0009876000112853944
gpu,warm,10,11,0.000915899989195168
gpu,warm,10,12,0.0008347000111825764
gpu,warm,10,13,0.0010328999487683177
gpu,warm,10,14,0.0009546999935992062
gpu,warm,10,15,0.0008738000178709626
gpu,warm,10,16,0.000895500008482486
gpu,warm,10,17,0.0008712999988347292
gpu,warm,10,18,0.0008351000142283738
gpu,warm,10,19,0.0009239999926649034
gpu,warm,10,20,0.0008724999497644603
gpu,warm,10,21,0.0008781999931670725
gpu,warm,10,22,0.0008224999764934182
gpu,warm,10,23,0.0008811000152491033
gpu,warm,10,24,0.0008259000023826957
gpu,warm,10,25,0.0011406999547034502
gpu,warm,10,26,0.001711999997496605
gpu,warm,10,27,0.0017729999963194132
gpu,warm,10,28,0.0013491000281646848
gpu,warm,10,29,0.0013244000147096813
eaim,warm,100,0,3.0104845000314526
eaim,warm,100,1,2.943134199944325
eaim,warm,100,2,2.9282267999951728
eaim,warm,100,3,2.9292065000045113
eaim,warm,100,4,2.943583700049203
eaim,warm,100,5,2.9818223000038415
eaim,warm,100,6,2.9064059000229463
eaim,warm,100,7,2.945537100022193
eaim,warm,100,8,2.963310899969656
eaim,warm,100,9,2.9946571000036784
eaim,warm,100,10,2.9846267999964766
eaim,warm,100,11,3.302140799991321
eaim,warm,100,12,2.9467274000053294
eaim,warm,100,13,3.353219899989199
eaim,warm,100,14,3.101089100004174
eaim,warm,100,15,3.437092600041069
eaim,warm,100,16,2.9698858999763615
eaim,warm,100,17,2.9447157999966294
eaim,warm,100,18,2.9160907000186853
eaim,warm,100,19,2.977873499970883
eaim,warm,100,20,2.9610701000201516
eaim,warm,100,21,3.8473465000279248
eaim,warm,100,22,2.978780800011009
eaim,warm,100,23,3.2416870000306517
eaim,warm,100,24,3.0151440000045113
eaim,warm,100,25,2.950328200007789
eaim,warm,100,26,2.978993500000797
eaim,warm,100,27,2.8920153999933973
eaim,warm,100,28,2.964257700019516
eaim,warm,100,29,2.921343500027433
cpu,init,100,0,2.900022082030773e-06
cpu,init,100,1,4.499976057559252e-06
cpu,init,100,2,3.89997148886323e-06
cpu,init,100,3,4.099973011761904e-06
cpu,init,100,4,4.400033503770828e-06
cpu,init,100,5,4.300032742321491e-06
cpu,init,100,6,4.199973773211241e-06
cpu,init,100,7,3.999972250312567e-06
cpu,init,100,8,4.099973011761904e-06
cpu,init,100,9,4.300032742321491e-06
cpu,init,100,10,4.00003045797348e-06
cpu,init,100,11,4.499976057559252e-06
cpu,init,100,12,4.200031980872154e-06
cpu,init,100,13,4.199973773211241e-06
cpu,init,100,14,4.099973011761904e-06
cpu,init,100,15,4.100031219422817e-06
cpu,init,100,16,4.099973011761904e-06
cpu,init,100,17,3.900029696524143e-06
cpu,init,100,18,3.7999707274138927e-06
cpu,init,100,19,3.900029696524143e-06
cpu,init,100,20,4.299974534660578e-06
cpu,init,100,21,4.200031980872154e-06
cpu,init,100,22,3.100023604929447e-06
cpu,init,100,23,3.6999699659645557e-06
cpu,init,100,24,4.200031980872154e-06
cpu,init,100,25,4.299974534660578e-06
cpu,init,100,26,4.300032742321491e-06
cpu,init,100,27,3.8000289350748062e-06
cpu,init,100,28,3.999972250312567e-06
cpu,init,100,29,3.700028173625469e-06
cpu,first_call,100,0,1.1201556999585591
cpu,first_call,100,1,1.0596893000183627
cpu,first_call,100,2,1.0953504999633878
cpu,first_call,100,3,1.0688862000242807
cpu,first_call,100,4,1.1145563999889418
cpu,first_call,100,5,1.083005900029093
cpu,first_call,100,6,1.1094135000021197
cpu,first_call,100,7,1.3414080999791622
cpu,first_call,100,8,1.3267640999983996
cpu,first_call,100,9,1.2831000000005588
cpu,first_call,100,10,1.175127300026361
cpu,first_call,100,11,1.1136003999854438
cpu,first_call,100,12,1.0908818999887444
cpu,first_call,100,13,1.1424937999690883
cpu,first_call,100,14,1.103149000031408
cpu,first_call,100,15,1.107162399974186
cpu,first_call,100,16,1.1590258000069298
cpu,first_call,100,17,1.0895200000377372
cpu,first_call,100,18,1.121588599984534
cpu,first_call,100,19,1.1118377999518998
cpu,first_call,100,20,1.1206046000006609
cpu,first_call,100,21,1.107615499990061
cpu,first_call,100,22,1.1722080000326969
cpu,first_call,100,23,1.103676800034009
cpu,first_call,100,24,1.1539648000034504
cpu,first_call,100,25,1.0940567000070587
cpu,first_call,100,26,1.1148573000100441
cpu,first_call,100,27,1.119420800008811
cpu,first_call,100,28,1.11915919999592
cpu,first_call,100,29,1.130019199976232
cpu,warm,100,0,1.1555480000097305
cpu,warm,100,1,1.0984173000324517
cpu,warm,100,2,1.1262144999927841
cpu,warm,100,3,1.1125716000096872
cpu,warm,100,4,1.0745023000054061
cpu,warm,100,5,1.2384493999998085
cpu,warm,100,6,1.0476109000155702
cpu,warm,100,7,1.0842472999938764
cpu,warm,100,8,1.051801500027068
cpu,warm,100,9,1.1454561999998987
cpu,warm,100,10,1.131439600023441
cpu,warm,100,11,1.0949970000074245
cpu,warm,100,12,1.0786340000340715
cpu,warm,100,13,1.252815100015141
cpu,warm,100,14,1.1247376999817789
cpu,warm,100,15,1.127966900006868
cpu,warm,100,16,1.0735763999982737
cpu,warm,100,17,1.071728400012944
cpu,warm,100,18,1.1559447000036016
cpu,warm,100,19,1.0901603000238538
cpu,warm,100,20,1.2677304000244476
cpu,warm,100,21,1.0565543999546207
cpu,warm,100,22,1.0591793000348844
cpu,warm,100,23,1.101284799980931
cpu,warm,100,24,1.101219600008335
cpu,warm,100,25,1.1163798000197858
cpu,warm,100,26,1.1793265999876894
cpu,warm,100,27,1.5410926999757066
cpu,warm,100,28,1.2862967000110075
cpu,warm,100,29,1.1014664000249468
gpu,init,100,0,0.3131845000316389
gpu,init,100,1,0.3101567999692634
gpu,init,100,2,0.3155411999905482
gpu,init,100,3,0.3091090999660082
gpu,init,100,4,0.3208957999595441
gpu,init,100,5,0.3211132999858819
gpu,init,100,6,0.33808880002470687
gpu,init,100,7,0.3522003999678418
gpu,init,100,8,0.3563635000027716
gpu,init,100,9,0.3133817999623716
gpu,init,100,10,0.35706770000979304
gpu,init,100,11,0.3234960999689065
gpu,init,100,12,0.3126513000461273
gpu,init,100,13,0.32934399996884167
gpu,init,100,14,0.31104749999940395
gpu,init,100,15,0.32035829999949783
gpu,init,100,16,0.3151114999782294
gpu,init,100,17,0.31175799999618903
gpu,init,100,18,0.3185143999871798
gpu,init,100,19,0.3149860000121407
gpu,init,100,20,0.31042840000009164
gpu,init,100,21,0.33338650001678616
gpu,init,100,22,0.3180655000032857
gpu,init,100,23,0.3083753999671899
gpu,init,100,24,0.32326729997294024
gpu,init,100,25,0.3270798000157811
gpu,init,100,26,0.34476129995891824
gpu,init,100,27,0.3185916999937035
gpu,init,100,28,0.3175150000024587
gpu,init,100,29,0.30261769995559007
gpu,jit,100,0,0.28094549995148554
gpu,jit,100,1,0.2708662999793887
gpu,jit,100,2,0.2776618000352755
gpu,jit,100,3,0.2758737000403926
gpu,jit,100,4,0.29006739996839315
gpu,jit,100,5,0.28377709997585043
gpu,jit,100,6,0.2828171000001021
gpu,jit,100,7,0.2706002999912016
gpu,jit,100,8,0.2827648000093177
gpu,jit,100,9,0.2769119999720715
gpu,jit,100,10,0.28495709999697283
gpu,jit,100,11,0.297103299992159
gpu,jit,100,12,0.28071819996694103
gpu,jit,100,13,0.2769658000324853
gpu,jit,100,14,0.3248938999604434
gpu,jit,100,15,0.372112000011839
gpu,jit,100,16,0.2887050000135787
gpu,jit,100,17,0.2777803000062704
gpu,jit,100,18,0.3184744999743998
gpu,jit,100,19,0.29516629996942356
gpu,jit,100,20,0.2872745000058785
gpu,jit,100,21,0.29035989998374134
gpu,jit,100,22,0.3395585000398569
gpu,jit,100,23,0.35470349999377504
gpu,jit,100,24,0.42129780002869666
gpu,jit,100,25,0.32789450004929677
gpu,jit,100,26,0.2749028999824077
gpu,jit,100,27,0.2822390999644995
gpu,jit,100,28,0.2773759999545291
gpu,jit,100,29,0.27600169996730983
gpu,warm,100,0,0.001410400029271841
gpu,warm,100,1,0.001090100035071373
gpu,warm,100,2,0.0010930999997071922
gpu,warm,100,3,0.0011056999792344868
gpu,warm,100,4,0.0013764999457634985
gpu,warm,100,5,0.001691900019068271
gpu,warm,100,6,0.0012057999847456813
gpu,warm,100,7,0.001066099968738854
gpu,warm,100,8,0.0021303999819792807
gpu,warm,100,9,0.0019654000061564147
gpu,warm,100,10,0.0015231000143103302
gpu,warm,100,11,0.0019571000011637807
gpu,warm,100,12,0.0013200999819673598
gpu,warm,100,13,0.0009970999672077596
gpu,warm,100,14,0.0010756999836303294
gpu,warm,100,15,0.00105189997702837
gpu,warm,100,16,0.0010045000235550106
gpu,warm,100,17,0.0011916999937966466
gpu,warm,100,18,0.0011916000512428582
gpu,warm,100,19,0.0009917999850586057
gpu,warm,100,20,0.0010017000022344291
gpu,warm,100,21,0.0009646999533288181
gpu,warm,100,22,0.0017040999955497682
gpu,warm,100,23,0.0012082000030204654
gpu,warm,100,24,0.0014770000125281513
gpu,warm,100,25,0.0022705000010319054
gpu,warm,100,26,0.0016252999776042998
gpu,warm,100,27,0.0011056999792344868
gpu,warm,100,28,0.0010132999741472304
gpu,warm,100,29,0.001110799959860742
eaim,warm,1000,0,26.315977699996438
eaim,warm,1000,1,26.168965599965304
eaim,warm,1000,2,26.47850849997485
eaim,warm,1000,3,25.7114137999597
eaim,warm,1000,4,25.916619599971455
eaim,warm,1000,5,26.720908399962354
eaim,warm,1000,6,26.944119699997827
eaim,warm,1000,7,25.717622299969662
eaim,warm,1000,8,25.656146099965554
eaim,warm,1000,9,25.95534210000187
eaim,warm,1000,10,26.837864300003275
eaim,warm,1000,11,26.087083899998106
eaim,warm,1000,12,25.78380340000149
eaim,warm,1000,13,25.89040259999456
eaim,warm,1000,14,25.69702810002491
eaim,warm,1000,15,25.812307300046086
eaim,warm,1000,16,25.858229999954347
eaim,warm,1000,17,27.570585300039966
eaim,warm,1000,18,27.04624729999341
eaim,warm,1000,19,30.499303100048564
eaim,warm,1000,20,34.495981200016104
eaim,warm,1000,21,26.578050200012513
eaim,warm,1000,22,26.234376699954737
eaim,warm,1000,23,25.979425000026822
eaim,warm,1000,24,25.85333030001493
eaim,warm,1000,25,25.939973299973644
eaim,warm,1000,26,26.185756600054447
eaim,warm,1000,27,26.874479899997823
eaim,warm,1000,28,26.51077280001482
eaim,warm,1000,29,26.93799140001647
cpu,init,1000,0,5.200039595365524e-06
cpu,init,1000,1,3.89997148886323e-06
cpu,init,1000,2,3.700028173625469e-06
cpu,init,1000,3,3.200024366378784e-06
cpu,init,1000,4,4.200031980872154e-06
cpu,init,1000,5,3.89997148886323e-06
cpu,init,1000,6,4.799978341907263e-06
cpu,init,1000,7,3.7999707274138927e-06
cpu,init,1000,8,5.499983672052622e-06
cpu,init,1000,9,3.300025127828121e-06
cpu,init,1000,10,4.500034265220165e-06
cpu,init,1000,11,3.8000289350748062e-06
cpu,init,1000,12,4.900037311017513e-06
cpu,init,1000,13,4.099973011761904e-06
cpu,init,1000,14,4.099973011761904e-06
cpu,init,1000,15,3.2999669201672077e-06
cpu,init,1000,16,4.599976819008589e-06
cpu,init,1000,17,3.8000289350748062e-06
cpu,init,1000,18,3.6999699659645557e-06
cpu,init,1000,19,4.100031219422817e-06
cpu,init,1000,20,3.700028173625469e-06
cpu,init,1000,21,3.5999692045152187e-06
cpu,init,1000,22,3.7999707274138927e-06
cpu,init,1000,23,3.6999699659645557e-06
